Turkmenistan,TKM,"Population, total",6158420
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Population, total",629515571
Timor-Leste,TLS,"Population, total",1280438
Middle East & North Africa (IDA & IBRD countries),TMN,"Population, total",400574097
Tonga,TON,"Population, total",104951
South Asia (IDA & IBRD),TSA,"Population, total",1861598514
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Population, total",1121549049
Trinidad and Tobago,TTO,"Population, total",1519955
Tunisia,TUN,"Population, total",12049314
Turkiye,TUR,"Population, total",83481684
Tuvalu,TUV,"Population, total",10956
Tanzania,TZA,"Population, total",59872579
Uganda,UGA,"Population, total",42949080
Ukraine,UKR,"Population, total",44386203
Upper middle income,UMC,"Population, total",2752927981
Uruguay,URY,"Population, total",3428409
United States,USA,"Population, total",328329953
Uzbekistan,UZB,"Population, total",33580350
St. Vincent and the Grenadines,VCT,"Population, total",104924
"Venezuela, RB",VEN,"Population, total",28971683
British Virgin Islands,VGB,"Population, total",30610
Virgin Islands (U.S.),VIR,"Population, total",106669
Viet Nam,VNM,"Population, total",95776716
Vanuatu,VUT,"Population, total",304404
World,WLD,"Population, total",7742682218
Samoa,WSM,"Population, total",211905
Kosovo,XKX,"Population, total",1788878
"Yemen, Rep.",YEM,"Population, total",31546691
South Africa,ZAF,"Population, total",58087055
Zambia,ZMB,"Population, total",18380477
Zimbabwe,ZWE,"Population, total",15354608
